Dimensions	Genotype	Microbiota in field I	Microbiota in field II
1	19.5753511261256	22.302103642747	16.9880155295855
2	13.6705452487346	12.0608597164447	12.0212478701213
3	2.83392770038508	9.59321753264604	6.92336175059928
4	2.37731520336806	4.53158053435127	4.44383061026657
5	2.06932903429524	3.21217540742888	3.53059523832923
6	2.01599663310521	2.93950656773456	3.11083001657207
7	1.57528523010189	2.78087383238704	2.62224967521266
8	1.4753374586243	2.60166557363292	2.09996966159443
9	1.3929253960426	2.31503521654575	1.9243998310174
10	1.08776340192591	2.09394870938404	1.78864468520353
11	1.03487056104033	1.75630924476091	1.70076907695987
12	0.999763428973812	1.66638947880875	1.62642781965208
13	0.930463999724417	1.48200756010431	1.46065765762319
14	0.868120612293038	1.37511875462548	1.31311291159534
15	0.850178310115524	1.26148109342046	1.26721388353719
16	0.77512613538156	1.22091341679677	1.19901289954804
17	0.739573948506777	1.10848128383632	1.08722602066648
18	0.723192085410081	0.996192970479512	1.04877694429598
19	0.708659122844004	0.96284241618081	0.987146917795694
20	0.692925611196381	0.862223212266252	0.976858582928322
21	0.683167372437457	0.83042187699328	0.922962304011968
22	0.647931119531501	0.824389951963965	0.829251114317211
23	0.632351453990438	0.770485704936186	0.825612057860076
24	0.622999808513136	0.741478206219937	0.808224398733824
25	0.61918662287198	0.717252582078912	0.768706904233431
26	0.600208606727091	0.694844587363687	0.764332633250534
27	0.585230589352752	0.661003204040122	0.744875285284343
28	0.577197624788818	0.644521169567746	0.689395781714734
29	0.57021136319987	0.61113819428385	0.678731557613777
30	0.568458616485852	0.593262339024101	0.625472647454414
31	0.565002573592066	0.565084566021964	0.622633581607884
32	0.551483346978141	0.546309817053947	0.605602530046419
33	0.543977854779554	0.512082367705239	0.587270991214023
34	0.531653682743368	0.50849116424404	0.569347690869498
35	0.525650937335641	0.495594968275123	0.559038798524092
36	0.514288303465452	0.469657876652843	0.547093959582996
37	0.50728830561699	0.455404084377531	0.525742516185916
38	0.500461384638408	0.447595051358363	0.521357468298395
39	0.49095039855074	0.436937558094446	0.495958463278545
40	0.483991609480821	0.420523096797345	0.473546457671621
41	0.478876226437714	0.41399216332379	0.468469307921861
42	0.475686666978505	0.398544102815764	0.462436515486612
43	0.466324032493591	0.382182664588419	0.454110264335889
44	0.455774585186647	0.375502497166858	0.44435521381575
45	0.452508102674158	0.370826807382444	0.436860938217006
46	0.449087774055109	0.36053636089942	0.421268363856059
47	0.44514546757452	0.345822320486515	0.408929262961994
48	0.440601512927205	0.340580538609455	0.398156466016636
49	0.432373493478169	0.329294794943572	0.397045556357156
50	0.427079539061377	0.325025618608888	0.380109526603589
51	0.425090528683713	0.319633531665662	0.37305000374021
52	0.417422948622859	0.304950901403037	0.368708259569278
53	0.414601520918631	0.298265596113663	0.359921703273482
54	0.410933939628326	0.294147297606122	0.35082174168395
55	0.403436689185448	0.2922506520157	0.346721735154608
56	0.401090536060414	0.279740180744124	0.34114235525444
57	0.399085042171334	0.275990962739186	0.334874166409183
58	0.396881746145248	0.27019372335551	0.33204037320438
59	0.394563065539242	0.261280023663227	0.322260386237916
60	0.392236143177528	0.25256245287866	0.312246482554798
61	0.38381306884339	0.249000394861178	0.308602803442485
62	0.376947686338167	0.246775198968696	0.30039246879928
63	0.374321313519042	0.24441720553791	0.293900162725649
64	0.371346039708256	0.230529417890876	0.286632116761791
65	0.367782853990259	0.227971864191525	0.274554412420256
66	0.365387250330974	0.221356304681576	0.269730791499063
67	0.35835703271158	0.217945815075957	0.265676547334199
68	0.356758132104121	0.211907957485448	0.263196384141888
69	0.35160978203818	0.207906420886341	0.259448353644162
70	0.349645496927642	0.203126085704309	0.257027253880011
71	0.346247146323817	0.196821751656611	0.251373488935752
72	0.344172971137165	0.194337169965348	0.246887348949536
73	0.336879017335098	0.187291900892265	0.242323244390649
74	0.334650996041886	0.183687254760731	0.236381910398548
75	0.33207132650511	0.18032633448549	0.233348875051633
76	0.32626913048629	0.178207876565363	0.228817050217978
77	0.325422976900212	0.172060651751926	0.216532831662814
78	0.324178471788221	0.169576329726493	0.215645787392903
79	0.317999902258711	0.167622746302851	0.210257840324155
80	0.314911991119908	0.158893195513112	0.206895649398185
81	0.314348804479824	0.153205266561268	0.203755689931784
82	0.311359794409523	0.151807804539971	0.200259038773285
83	0.306774630983666	0.148317899919725	0.198584953198642
84	0.305109796330538	0.143951948405837	0.194161581454813
85	0.300395512065248	0.141560691044436	0.190289287442589
86	0.296266392455264	0.138689025037241	0.185932453004215
87	0.294936722534284	0.134283519049465	0.183378589346791
88	0.289944965826806	0.129630714136991	0.182429310212761
89	0.289541119797087	0.12787083184891	0.176900185043591
90	0.28668123056622	0.125460213182017	0.172032064576214
91	0.284557604845316	0.122769443005305	0.168923941790204
92	0.281846067217203	0.120361852847339	0.162856655675252
93	0.276873541273045	0.118149982856291	0.161144364656078
94	0.274503212331265	0.114131825683337	0.158068132673314
95	0.271226015536355	0.112034154459096	0.156385482618056
96	0.268544148228793	0.10637147365182	0.154412693331544
97	0.261643875624404	0.102873071232911	0.151944799881996
98	0.25733069013693	0.102072095047743	0.148060255649139
99	0.25616475642936	0.0972865321017931	0.145984287102401
100	0.256129316879813	0.0958624753612268	0.141725335263954
101	0.249607340862447	0.0907686380129119	0.138262943831401
102	0.246646078036365	0.0893017197460555	0.133617523778995
103	0.245588111328577	0.0878705381355256	0.130172285503226
104	0.24319030986777	0.0829897900139934	0.129396590229254
105	0.239802948271555	0.0818262265627354	0.126308935662706
106	0.236434817438661	0.0788772215756897	0.125112644165337
107	0.232177950615195	0.0764539936203153	0.121820125051227
108	0.229347456979688	0.0751922750098571	0.11931550209862
109	0.225997458009353	0.0720730105527035	0.117183765903785
110	0.223097184175514	0.0698286399142642	0.115210841265637
111	0.2221870196201	0.0688472617535672	0.113721786458998
112	0.218883449206922	0.0659172885672307	0.10883932303185
113	0.214294439628401	0.0624630493966048	0.107383297661055
114	0.213652406858705	0.0606376737268568	0.101999814533751
115	0.211973011770493	0.0598314624043563	0.100698792355103
116	0.20850955129657	0.0546421971113798	0.0990257018712258
117	0.207659002107447	0.0531611955367606	0.0983760913805908
118	0.204030981244543	0.0522642227531573	0.0945466195203624
119	0.201168619486964	0.0483030671004058	0.0926185144583292
120	0.198622741148593	0.045401033541756	0.0906368737270617
121	0.194875764278295	0.0452191739525594	0.0874458593542011
122	0.192148567314336	0.0433753941491281	0.0833147364485228
123	0.187847744460424	0.0371722591023305	0.0828521132606217
124	0.18436395432242	0.0353883242566948	0.0820385896873753
125	0.181518900251828	0.0334296769791818	0.0784141236962491
126	0.178765604394792	0.0313709995309147	0.0776929405179067
127	0.174477418899633	0.0286149376455086	0.0761313456478906
128	0.168920552475738	0.0281456308199883	0.0739167109239681
129	0.167325223295753	0.0243272467870285	0.0714651950453088
130	0.164825224064159	0.0219020552061697	0.0678959589704781
131	0.162709840098965	0.018888412036617	0.0634906030606775
132	0.157430995567638	0.0181817632004391	0.0619301913065902
133	0.15415599657425	0.0153677849735519	0.0610905919735124
134	0.152270557593324	0.0151832338018174	0.0568130959869123
135	0.151559294075676	0.01316281143979	0.0538613699049742
136	0.149112866256188	0.00707730349066477	0.0519564335268548
137	0.145048581791112	0.00415627649157912	0.0513503304716426
138	0.140094462434702	0.000564985714755311	0.0490166348753232
139	0.136776056861249	0	0.0450706389809292
140	0.135777705519754	-0.000538343483472631	0.0442527543893112
141	0.133382651310849	-0.00175841221929419	0.0441298415705018
142	0.132286497801612	-0.00425857515349864	0.0401205665435821
143	0.128802158213227	-0.00545862652882123	0.0389534612821745
144	0.127326883941396	-0.0083346847990964	0.0351935797200952
145	0.123343368682263	-0.0108729174238142	0.031169526871151
146	0.122456281042833	-0.0113693299356959	0.0307190993213561
147	0.120804083748459	-0.0145766434116996	0.0268882456948196
148	0.116864799244962	-0.0175076059310953	0.0238006253955839
149	0.115785953422713	-0.0193711920430051	0.0202032437199877
150	0.113733206800903	-0.0197515703456186	0.0195837372689301
151	0.112105185323274	-0.0259148205490892	0.0175083991135383
152	0.1073395274474	-0.0271867015450194	0.0162523486800982
153	0.101877441214154	-0.0280620124090994	0.0106381400870902
154	0.0988491454416418	-0.03508300529151	0.0078346172219036
155	0.0971540910175832	-0.0358568367566117	0.00609423301812867
156	0.095341728937273	-0.037798094332233	0.00447233901931756
157	0.0931617845523614	-0.042481268761496	0.0021182884241552
158	0.0904516205501997	-0.0443689540688174	0.00148855216999461
159	0.0870428303891432	-0.049106087944933	0
160	0.0850881606602654	-0.0520589035770837	-0.00430760178351578
161	0.0811370629735863	-0.0558731347343098	-0.00717095754338626
162	0.0787321186578312	-0.0607247730700613	-0.00830149292770548
163	0.0762304710750959	-0.0626176925516839	-0.0150831295757919
164	0.0749810209096796	-0.0668531306089092	-0.0158077354320049
165	0.0711389891235437	-0.0718025688628218	-0.0199958045853733
166	0.0679458582368609	-0.0779733278567524	-0.0230877622071142
167	0.0641312989697535	-0.0820192700892967	-0.0263606814837656
168	0.0614628931965151	-0.0889272252783619	-0.0334624774378357
169	0.0603708605651322	-0.0950690046738391	-0.0339030772832067
170	0.0563249826878048	-0.0982073768473326	-0.0356524819438512
171	0.0527639947713304	-0.106425571750794	-0.0429222093899325
172	0.0512563029270462	-0.114322431747224	-0.0474304087181925
173	0.0468442163710689	-0.118401798540908	-0.0589840938741717
174	0.0459516342278329	-0.134195112945367	-0.0664284988574949
175	0.0429922944780827	-0.141465397134549	-0.0760152757582643
176	0.0418727893276712	-0.16494721798324	-0.0768381135158909
177	0.0394947680805641	-0.176943779463049	-0.0869130319490033
178	0.0376846038017762	-0.187111496493719	-0.0988673512580319
179	0.0368760875667674	-0.234561896480162	-0.112878144124585
180	0.0143434021847807	-0.272098538295249	-0.127418150451737
181	0.00129859300745444	-0.365207943354802	-0.153799863633906
182	-8.29098646264955e-15	-0.62789591886274	-0.293676462415621
