<20	[20,24)	[24,28)	[28,32)	[32,36)	>=36
Anaeromyxobacter	3.24395833333333	3.77623255813953	4.52226470588235	4.7173	4.33327777777778	4.8189696969697
Chitinispirillum	0.326916666666667	0.46	0.542470588235294	0.583433333333333	0.537	0.568
Geothrix	0.319333333333333	0.367837209302326	0.413588235294118	0.439533333333333	0.417777777777778	0.472848484848485
Piscinibacter	0.609	0.562302325581395	0.771617647058824	0.870533333333333	0.828222222222222	0.927
Roseateles	1.03570833333333	1.06225581395349	1.21764705882353	1.1482	1.23266666666667	1.27842424242424
Sideroxydans	2.74820833333333	2.9233023255814	3.98767647058824	3.55316666666667	3.74855555555556	3.79490909090909
Spirochaeta	0.4125	0.437418604651163	0.543882352941176	0.566533333333333	0.553666666666667	0.638121212121212
Burkholderia	9.73941666666667	10.025023255814	7.26591176470588	7.09466666666667	7.15877777777778	5.28751515151515
Exiguobacterium	1.68954166666667	1.0523023255814	1.10167647058824	0.694766666666667	0.734888888888889	0.514818181818182
Paenibacillus	0.936041666666667	0.765558139534884	0.752470588235294	0.627133333333333	0.735777777777778	0.562848484848485
Pleomorphomonas	1.35825	1.16116279069767	0.998235294117647	0.900766666666667	0.804777777777778	0.743818181818182
Tolumonas	0.52925	0.400255813953488	0.442323529411765	0.294833333333333	0.181555555555556	0.18369696969697
