GroupID,N,TillerNumber,method,p,padjFDR,pAsterisk,padjFDRAsterisk
R2188,20,5.8,Wilcoxon,0.0293019607237104,0.0439529410855656,*,*
R780,24,5.79166666666667,Wilcoxon,0.00978931026540513,0.0188569697318277,**,*
R1625,24,5.29166666666667,Wilcoxon,0.650850855880505,0.7645764945718,,
R2149,24,5.45833333333333,Wilcoxon,0.384239164783073,0.512318886377431,,
R1801,24,5.79166666666667,Wilcoxon,0.0109998990102328,0.0188569697318277,*,*
R3062,24,5.125,Wilcoxon,0.700861786690817,0.7645764945718,,
R2797,24,5.29166666666667,Wilcoxon,0.940924762647735,0.940924762647735,,
R1405,24,4.29166666666667,Wilcoxon,0.000202076225948935,0.000808304903795739,***,***
R2488,24,4.5,Wilcoxon,0.00253011877903033,0.00607228506967279,**,**
R1870,24,3.91666666666667,Wilcoxon,9.52500557277998e-06,5.71500334366799e-05,***,***
R1275,23,4.43478260869565,Wilcoxon,0.000397181996597443,0.00119154598979233,***,**
R2567,24,3.375,Wilcoxon,1.34248037647405e-08,1.61097645176885e-07,***,***
Mock,24,5.20833333333333,NA,NA,NA,NA,NA
