GroupID,DryWeight,SpikeNumber,TillerNumber
R2488,43.16,11,12
R2488,55.78,12,12
R2488,42.01,11,10
R2488,38.08,9,9
R2488,46.01,10,10
R2488,36.15,9,9
R2488,40.6,9,10
R2488,37.66,11,11
R2488,46.31,11,11
R2488,47.45,11,12
R2488,37.18,10,10
R2488,35.02,10,10
R2488,41.26,10,10
R2488,52.07,12,12
R2488,37.1,8,8
R2488,30.31,10,9
R2488,52.7,12,12
R2488,36.87,9,10
R2488,40.08,10,11
R2488,39.61,10,11
R2488,40.76,9,9
R2488,38.12,11,10
R2488,47.08,12,12
R2488,41.28,10,10
R2488,38.22,9,9
R2488,32.04,10,11
R2488,41.68,10,10
R2488,33.08,8,8
R2488,48.7,13,12
R2488,29.3,7,8
R2488,41.02,10,10
R2488,31.47,8,8
R2488,34.26,9,9
R2488,30.26,8,8
R2488,32.06,8,8
R2488,32.78,9,8
R2488,30.73,8,8
R2488,28.12,8,8
R2488,32.23,9,9
R2488,35.85,9,9
R2488,33.17,9,8
R2488,36.95,9,8
R2488,38.32,10,10
R2488,40.07,10,10
R2488,35.46,8,9
R2488,33.17,9,9
R2488,30.62,8,8
R2488,33.94,10,10
R2488,31.13,9,9
R2488,24.06,8,8
R1405,32.47,8,9
R1405,37.35,10,9
R1405,40.11,10,10
R1405,34.1,8,8
R1405,41.08,10,10
R1405,40.78,10,11
R1405,38.62,10,10
R1405,34.02,8,9
R1405,39.51,9,9
R1405,32.56,8,8
R1405,46.25,11,11
R1405,39.52,9,9
R1405,40.1,9,9
R1405,28.29,9,9
R1405,51.64,13,13
R1405,48.2,12,12
R1405,33.41,9,9
R1405,39.02,9,10
R1405,37.36,11,11
R1405,34.49,12,11
R1405,46.78,10,10
R1405,42.88,11,11
R1405,38.86,10,10
R1405,32.89,8,8
R1405,48.48,12,11
R1405,42.21,11,10
R1405,28.37,7,8
R1405,36.09,10,10
R1405,46.62,9,11
R1405,39.26,9,9
R1405,28.52,8,8
R1405,30.72,8,8
R1405,30.76,9,9
R1405,31.18,8,8
R1405,30.55,8,8
R1405,37.02,9,9
R1405,29.66,8,8
R1405,34.37,9,9
R1405,28.99,8,8
R1405,27.61,8,8
R1405,33.19,8,8
R1405,44.07,10,10
R1405,33.62,9,8
R1405,41.57,10,10
R1405,31.56,10,10
R1405,36.64,9,9
R1405,25.76,6,7
R1405,36.46,9,10
R1405,35.22,8,8
R1405,39.5,11,10
R2567,50.02,13,11
R2567,37.4,9,9
R2567,36.07,10,9
R2567,34.22,9,8
R2567,42.08,10,10
R2567,39.2,9,9
R2567,47.31,12,10
R2567,32.01,8,8
R2567,46.81,11,11
R2567,42.1,11,11
R2567,42.82,10,11
R2567,49.53,13,12
R2567,39.22,10,10
R2567,46.84,12,12
R2567,37.8,10,11
R2567,34.82,10,10
R2567,40.74,10,10
R2567,42.17,10,11
R2567,46.02,11,10
R2567,35.96,10,10
R2567,27.8,6,8
R2567,29.58,8,8
R2567,44.2,12,11
R2567,35.38,9,9
R2567,38.21,10,10
R2567,41.88,10,10
R2567,37.81,11,11
R2567,26.77,10,10
R2567,32.1,9,9
R2567,26.1,8,8
R2567,30.1,10,9
R2567,41.16,11,10
R2567,37.07,10,9
R2567,37.17,10,10
R2567,35.12,9,9
R2567,37.51,9,8
R2567,36.67,11,10
R2567,34.42,9,9
R2567,46.21,11,10
R2567,31.79,8,8
R2567,24.81,8,8
R2567,31.88,9,9
R2567,36.75,11,9
R2567,29.94,9,8
R2567,31.24,9,9
R2567,33.7,9,9
R2567,27.82,8,8
R2567,27.63,9,9
R2567,33.59,9,9
R2567,26.02,8,8
R1801,43.12,13,13
R1801,48.3,11,12
R1801,62.91,16,16
R1801,55.81,13,14
R1801,58.4,15,15
R1801,44.83,10,11
R1801,60.2,14,17
R1801,52.86,13,13
R1801,56.08,12,14
R1801,36.32,10,11
R1801,43.25,11,11
R1801,43.57,11,11
R1801,38.3,11,11
R1801,35.24,10,13
R1801,32.57,10,11
R1801,50.63,12,14
R1801,42.12,10,15
R1801,35.5,9,12
R1801,47.21,12,13
R1801,44.18,13,14
R1801,46.2,11,12
R1801,40.11,12,12
R1801,48.01,11,12
R1801,54.11,13,14
R1801,47.49,13,13
R1801,41.15,11,12
R1801,63.21,14,15
R1801,46.06,12,13
R1801,44.08,13,14
R1801,30.56,10,11
R1801,38.08,12,12
R1801,45.88,15,17
R1801,31.52,14,14
R1801,45.97,13,13
R1801,44.92,12,15
R1801,49.92,13,17
R1801,48.64,12,12
R1801,40.41,11,12
R1801,57.4,15,15
R1801,42.54,12,12
R1801,44.86,11,12
R1801,59.05,17,17
R1801,39.95,12,12
R1801,50.72,15,16
R1801,44.01,12,13
R1801,38.15,10,12
R1801,40.75,11,12
R1801,42.96,12,15
R1801,49.57,11,12
R1801,51.77,13,13
R780,43.78,10,14
R780,47.81,12,12
R780,63.01,13,13
R780,57.38,15,15
R780,42.21,9,15
R780,58.01,14,13
R780,54.47,15,15
R780,35.89,10,11
R780,53.48,11,12
R780,47.98,11,11
R780,55.68,15,16
R780,40.51,9,13
R780,37.25,11,11
R780,56.21,14,15
R780,53.79,15,15
R780,51.06,12,12
R780,53.02,13,14
R780,51.22,14,14
R780,48.68,10,11
R780,58.11,14,14
R780,50.6,13,13
R780,60.27,14,16
R780,46.57,9,11
R780,42.85,14,14
R780,55.71,12,12
R780,52.47,13,14
R780,51.9,13,13
R780,53.15,14,14
R780,56.95,16,15
R780,58.53,12,15
R780,69.15,20,20
R780,59.45,12,15
R780,67.84,18,18
R780,51.66,13,15
R780,59.34,15,15
R780,69.83,19,19
R780,62.92,18,18
R780,57.19,15,15
R780,76.32,21,22
R780,67.68,17,18
R780,67.37,18,19
R780,61.66,17,17
R780,56.76,14,14
R780,59.8,16,16
R780,67.96,19,20
R780,46.81,14,14
R780,58.56,15,15
R780,37.58,13,14
R780,48.2,16,17
R780,50.22,16,16
Mock,33.19,7,11
Mock,52.11,14,14
Mock,34.87,10,11
Mock,44.83,13,13
Mock,56.21,14,14
Mock,52.08,13,14
Mock,44.27,11,13
Mock,38.47,10,11
Mock,36.2,10,11
Mock,44.84,11,11
Mock,40.8,13,13
Mock,39.12,9,10
Mock,52.28,13,14
Mock,36.2,10,10
Mock,49.42,13,13
Mock,37.02,10,14
Mock,36.89,11,11
Mock,51.84,12,14
Mock,42.78,11,13
Mock,40.93,10,11
Mock,38.01,11,11
Mock,42.23,13,13
Mock,40.71,11,13
Mock,36.2,10,11
Mock,36.31,11,11
Mock,57.2,13,13
Mock,46.24,12,12
Mock,46.45,12,12
Mock,46.81,10,12
Mock,37.8,11,12
Mock,30.66,9,9
Mock,32.86,9,9
Mock,30.76,8,8
Mock,53.76,12,14
Mock,35.93,10,10
Mock,26.83,8,8
Mock,33.22,8,10
Mock,36.28,11,10
Mock,47.17,13,13
Mock,38.36,13,13
Mock,50.76,14,14
Mock,42.81,12,13
Mock,44.68,11,11
Mock,51.4,14,14
Mock,55.01,12,13
Mock,31.24,11,11
Mock,44.78,13,14
Mock,47.47,14,14
Mock,44.06,11,11
Mock,44.08,13,14
