Variety,TillerNumber,Treatment
Nip,13,Mock
Nip,11,Mock
Nip,11,Mock
Nip,10,Mock
Nip,7,Mock
Nip,8,Mock
Nip,6,Mock
Nip,5,Mock
Nip,9,Mock
Nip,10,Mock
Nip,7,Mock
Nip,5,Mock
Nip,11,Mock
Nip,12,Mock
Nip,7,Mock
Nip,6,Mock
Nip,16,Mock
Nip,12,Mock
Nip,9,Mock
Nip,10,Mock
Nip,9,Gr24
Nip,8,Gr24
Nip,8,Gr24
Nip,6,Gr24
Nip,6,Gr24
Nip,5,Gr24
Nip,4,Gr24
Nip,7,Gr24
Nip,7,Gr24
Nip,5,Gr24
Nip,4,Gr24
Nip,5,Gr24
Nip,4,Gr24
Nip,6,Gr24
Nip,5,Gr24
Nip,7,Gr24
Nip,9,Gr24
Nip,7,Gr24
Nip,5,Gr24
Nip,8,Gr24
Nip,9,S6
Nip,9,S6
Nip,5,S6
Nip,9,S6
Nip,8,S6
Nip,4,S6
Nip,6,S6
Nip,6,S6
Nip,7,S6
Nip,7,S6
Nip,7,S6
Nip,7,S6
Nip,9,S6
Nip,6,S6
Nip,4,S6
Nip,4,S6
Nip,7,S6
Nip,9,S6
Nip,5,S6
Nip,7,S6
